thread,i,time
1,1,0.37
1,2,0.41
1,3,0.41
1,4,0.46
1,5,0.48
2,1,0.50
2,2,0.49
2,3,0.49
2,4,0.50
2,5,0.50
4,1,0.47
4,2,0.48
4,3,0.47
4,4,0.51
4,5,0.48
8,1,0.55
8,2,0.57
8,3,0.57
8,4,0.61
8,5,0.58
16,1,0.60
16,2,0.60
16,3,0.59
16,4,0.57
16,5,0.57
32,1,0.53
32,2,0.59
32,3,0.56
32,4,0.55
32,5,0.56
64,1,0.54
64,2,0.55
64,3,0.54
64,4,0.57
64,5,0.57
