thread,i,time
1,1,0.00
1,2,0.00
1,3,0.00
1,4,0.00
1,5,0.00
2,1,0.02
2,2,0.02
2,3,0.02
2,4,0.03
2,5,0.02
4,1,0.06
4,2,0.05
4,3,0.05
4,4,0.05
4,5,0.05
8,1,0.06
8,2,0.06
8,3,0.06
8,4,0.06
8,5,0.05
16,1,0.07
16,2,0.13
16,3,0.08
16,4,0.09
16,5,0.11
32,1,0.11
32,2,0.12
32,3,0.16
32,4,0.18
32,5,0.14
64,1,0.28
64,2,0.29
64,3,0.28
64,4,0.26
64,5,0.30
