thread,i,time
1,1,0.97
1,2,1.20
1,3,1.20
1,4,1.21
1,5,1.21
2,1,1.26
2,2,1.26
2,3,1.26
2,4,1.26
2,5,1.26
4,1,1.37
4,2,1.38
4,3,1.38
4,4,1.36
4,5,1.40
8,1,1.38
8,2,1.35
8,3,1.37
8,4,1.36
8,5,1.37
16,1,1.38
16,2,1.43
16,3,1.38
16,4,1.38
16,5,1.37
32,1,1.37
32,2,1.38
32,3,1.37
32,4,1.38
32,5,1.37
64,1,1.39
64,2,1.38
64,3,1.38
64,4,1.37
64,5,1.38
