thread,i,time
1,1,0.25
1,2,0.26
1,3,0.26
1,4,0.26
1,5,0.26
2,1,0.27
2,2,0.26
2,3,0.27
2,4,0.27
2,5,0.26
3,1,0.26
3,2,0.29
3,3,0.26
3,4,0.26
3,5,0.26
4,1,0.36
4,2,0.33
4,3,0.38
4,4,0.39
4,5,0.26
5,1,0.35
5,2,0.43
5,3,0.38
5,4,0.39
5,5,0.37
6,1,0.42
6,2,0.63
6,3,0.57
6,4,0.54
6,5,0.45
