thread,i,time
1,1,0.02
1,2,0.02
1,3,0.03
1,4,0.02
1,5,0.02
2,1,0.09
2,2,0.09
2,3,0.09
2,4,0.09
2,5,0.08
4,1,0.05
4,2,0.05
4,3,0.05
4,4,0.05
4,5,0.04
8,1,0.04
8,2,0.04
8,3,0.04
8,4,0.04
8,5,0.04
16,1,0.04
16,2,0.04
16,3,0.04
16,4,0.04
16,5,0.04
32,1,0.04
32,2,0.04
32,3,0.04
32,4,0.06
32,5,0.04
64,1,0.04
64,2,0.04
64,3,0.05
64,4,0.04
64,5,0.04
