thread,i,time
1,1,0.41
1,2,0.32
1,3,0.42
1,4,0.29
1,5,0.32
2,1,0.39
2,2,0.42
2,3,0.43
2,4,0.42
2,5,0.42
4,1,0.43
4,2,0.41
4,3,0.41
4,4,0.41
4,5,0.41
8,1,0.42
8,2,0.38
8,3,0.42
8,4,0.40
8,5,0.39
16,1,0.45
16,2,0.38
16,3,0.37
16,4,0.45
16,5,0.38
32,1,0.44
32,2,0.29
32,3,0.41
32,4,0.30
32,5,0.43
64,1,0.39
64,2,0.40
64,3,0.40
64,4,0.40
64,5,0.43
