thread,i,time
1,1,0.08
1,2,0.08
1,3,0.08
1,4,0.08
1,5,0.08
2,1,0.21
2,2,0.21
2,3,0.21
2,4,0.21
2,5,0.21
4,1,0.11
4,2,0.11
4,3,0.11
4,4,0.11
4,5,0.11
8,1,0.06
8,2,0.06
8,3,0.07
8,4,0.07
8,5,0.06
16,1,0.04
16,2,0.04
16,3,0.04
16,4,0.04
16,5,0.04
32,1,0.02
32,2,0.02
32,3,0.02
32,4,0.02
32,5,0.03
64,1,0.03
64,2,0.03
64,3,0.03
64,4,0.03
64,5,0.04
