thread,i,time
1,1,0.13
1,2,0.12
1,3,0.15
1,4,0.13
1,5,0.13
2,1,0.15
2,2,0.15
2,3,0.15
2,4,0.15
2,5,0.20
4,1,0.22
4,2,0.18
4,3,0.33
4,4,0.17
4,5,0.15
8,1,0.27
8,2,0.36
8,3,0.28
8,4,0.40
8,5,0.26
16,1,0.56
16,2,0.47
16,3,0.55
16,4,0.63
16,5,0.53
32,1,0.92
32,2,0.96
32,3,0.94
32,4,1.06
32,5,0.94
64,1,1.92
64,2,1.77
64,3,1.90
64,4,2.11
64,5,1.97
