thread,i,time
1,1,0.78
1,2,0.69
1,3,0.71
1,4,0.73
1,5,0.73
2,1,0.76
2,2,0.78
2,3,0.72
2,4,0.74
2,5,0.73
4,1,0.68
4,2,0.72
4,3,0.73
4,4,0.73
4,5,0.72
8,1,0.76
8,2,0.68
8,3,0.59
8,4,0.64
8,5,0.62
16,1,0.64
16,2,0.64
16,3,0.63
16,4,0.64
16,5,0.64
32,1,1.40
32,2,1.44
32,3,1.35
32,4,1.16
32,5,1.42
64,1,3.40
64,2,3.35
64,3,3.27
64,4,3.69
64,5,2.96
