thread,i,time
1,1,0.17
1,2,0.28
1,3,0.34
1,4,0.42
1,5,0.34
2,1,0.42
2,2,0.34
2,3,0.31
2,4,0.42
2,5,0.33
4,1,0.43
4,2,0.38
4,3,0.42
4,4,0.40
4,5,0.43
8,1,0.43
8,2,0.39
8,3,0.42
8,4,0.38
8,5,0.40
16,1,0.34
16,2,0.34
16,3,0.37
16,4,0.43
16,5,0.35
32,1,0.44
32,2,0.36
32,3,0.41
32,4,0.39
32,5,0.36
64,1,0.39
64,2,0.36
64,3,0.31
64,4,0.34
64,5,0.36
